kod_sekolah,name,address,latitude,longitude,ppd,school_type,,sebab_ralat
ABC2121,SEKOLAH JENIS KEBANGSAAN (CINA) KAMPUNG TAWAS,LORONG TAWAS 29, KAMPUNG TAWAS,4.64685887,101.0979528,PPD KINTA UTARA,['RENDAH'],could not convert string to float: 'KAMPUNG TAWAS'
ABC2126,SEKOLAH JENIS KEBANGSAAN (CINA) JELAPANG,JALAN SEKOLAH, JELAPANG,4.634478624,101.0604928,PPD KINTA UTARA,['RENDAH'],could not convert string to float: 'JELAPANG'
ABC2136,SEKOLAH JENIS KEBANGSAAN (CINA) YUK KWAN,NO.8, JALAN KELAB,4.467795,101.040545,PPD KINTA SELATAN,['RENDAH'],could not convert string to float: 'JALAN KELAB'
ABC2140,SEKOLAH JENIS KEBANGSAAN (CINA) SUNGAI DURIAN,JALAN PASAR BARU, SUNGAI DURIAN,4.316185,101.034138,PPD KINTA SELATAN,['RENDAH'],could not convert string to float: 'SUNGAI DURIAN'
ABC2143,SEKOLAH JENIS KEBANGSAAN (CINA) PHUI YING,SIMPANG PULAI, KG KEPAYANG,4.531399,101.128635,PPD KINTA UTARA,['RENDAH'],could not convert string to float: 'KG KEPAYANG'
ABC4094,SEKOLAH JENIS KEBANGSAAN (CINA) KHIU MIN,JALAN BESAR, PADANG RENGAS,4.775287,100.841547,PPD KUALA KANGSAR,['RENDAH'],could not convert string to float: 'PADANG RENGAS'
ABC4100,SEKOLAH JENIS KEBANGSAAN (CINA) SEY WAH,NO.70,DEPAN BALAI POLIS,4.835202332,100.9658498,PPD KUALA KANGSAR,['RENDAH'],could not convert string to float: 'DEPAN BALAI POLIS'
ABC6075,SEKOLAH JENIS KEBANGSAAN (CINA) HUA LIAN (2),LOT 16747, JALAN PERTAMA 15, TAMAN PERTAMA,4.853905,100.724643,"['PPD LARUT/MATANG/SELAMA', 'RENDAH']",could not convert string to float: 'TAMAN PERTAMA'
ABC6076,SEKOLAH JENIS KEBANGSAAN (CINA) HUA LIAN (3),JLN. CEMPEDAK , KG. JAMBU,4.84111343,100.7425433,PPD LARUT/MATANG/SELAMA,['RENDAH'],could not convert string to float: 'KG. JAMBU'
ABC6078,SEKOLAH JENIS KEBANGSAAN (CINA) AULONG,LORONG 42, KAMPUNG BARU AULONG,4.854790663,100.712289,PPD LARUT/MATANG/SELAMA,['RENDAH'],could not convert string to float: 'KAMPUNG BARU AULONG'
